Lexema:   ]      Tipo:  corcheteCerrar   Linea   33   Columna 21
Lexema:   ,      Tipo:  coma   Linea   33   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   34   Columna 4
Lexema:   7      Tipo:  entero   Linea   34   Columna 6
Lexema:   ,      Tipo:  coma   Linea   34   Columna 6
Lexema:   3      Tipo:  entero   Linea   34   Columna 8
Lexema:   ,      Tipo:  coma   Linea   34   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   34   Columna 13
Lexema:   ,      Tipo:  coma   Linea   34   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   34   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   34   Columna 21
Lexema:   ,      Tipo:  coma   Linea   34   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   35   Columna 4
Lexema:   8      Tipo:  entero   Linea   35   Columna 6
Lexema:   ,      Tipo:  coma   Linea   35   Columna 6
Lexema:   3      Tipo:  entero   Linea   35   Columna 8
Lexema:   ,      Tipo:  coma   Linea   35   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   35   Columna 13
Lexema:   ,      Tipo:  coma   Linea   35   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   35   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   35   Columna 21
Lexema:   ,      Tipo:  coma   Linea   35   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   36   Columna 4
Lexema:   6      Tipo:  entero   Linea   36   Columna 6
Lexema:   ,      Tipo:  coma   Linea   36   Columna 6
Lexema:   3      Tipo:  entero   Linea   36   Columna 8
Lexema:   ,      Tipo:  coma   Linea   36   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   36   Columna 13
Lexema:   ,      Tipo:  coma   Linea   36   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   36   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   36   Columna 21
Lexema:   ,      Tipo:  coma   Linea   36   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   37   Columna 4
Lexema:   9      Tipo:  entero   Linea   37   Columna 6
Lexema:   ,      Tipo:  coma   Linea   37   Columna 6
Lexema:   3      Tipo:  entero   Linea   37   Columna 8
Lexema:   ,      Tipo:  coma   Linea   37   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   37   Columna 13
Lexema:   ,      Tipo:  coma   Linea   37   Columna 13
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   37   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   37   Columna 21
Lexema:   ,      Tipo:  coma   Linea   37   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   38   Columna 4
Lexema:   12      Tipo:  entero   Linea   38   Columna 7
Lexema:   ,      Tipo:  coma   Linea   38   Columna 7
Lexema:   3      Tipo:  entero   Linea   38   Columna 9
Lexema:   ,      Tipo:  coma   Linea   38   Columna 9
Lexema:   TRUE      Tipo:  boleano   Linea   38   Columna 14
Lexema:   ,      Tipo:  coma   Linea   38   Columna 14
Lexema:   #00FF00      Tipo:  CodigoColor   Linea   38   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   38   Columna 22
Lexema:   ,      Tipo:  coma   Linea   38   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   39   Columna 4
Lexema:   3      Tipo:  entero   Linea   39   Columna 6
Lexema:   ,      Tipo:  coma   Linea   39   Columna 6
